filename,extension, center_r, center_c, radius, sigma, sample, alpha, beta, gamma, max_iter, status, accuracy
5,jpg,160,190,115, 3.5, 100, 1, 10, 1, 100, berhasil, 93.61060880048223
7,jpg,55,75,35, 3.5, 50, 1, 10, 1, 25, berhasil, 78.09160305343511
8,jpg,153,255,45, 3.5, 50, 1, 10, 2, 100, berhasil, 98.45474613686534
14,jpg,95,130,65, 3.5, 50, 1, 10, 2, 100, berhasil, 72.19677355108544
28,jpg,120,80,60, 3.5, 200, 1, 10, 6, 50, berhasil, 78.7146614069691
2,jpg,120,265,85, 3.5, 100, 1, 10, 1, 100, gagal
4,jpg,145,130,90, 3.5, 100, 1, 10, 1, 100, gagal
6,jpg,155,165,80, 3.5, 100, 1, 10, 1, 100, gagal
15,jpg,153,250,151, 3.5, 200, 1, 10, 2, 100, gagal
16,jpg,208,245,200, 3.5, 50, 1, 10, 2, 100, gagal
17,jpg,124,125,120, 3.5, 50, 1, 10, 1, 100, gagal
18,jpg,85,85,75, 3.5, 50, 1, 10, 1, 50, gagal
19,jpg,225,285,130, 3.5, 50, 1, 10, 1, 100, gagal
20,jpg,250,225,155, 3.5, 50, 1, 10, 1, 100, gagal
22,jpg,140,190,125, 3.5, 50, 1, 10, 1, 100, gagal
26,jpg,195,248,193, 3.5, 200, 1, 10, 2, 100, gagal
27,jpg,207,253,205, 3.5, 50, 1, 10, 1, 100, gagal
29,jpg,195,240,180, 3.5, 50, 1, 10, 1, 100, gagal
31,jpg,245,190,180, 3.5, 50, 1, 10, 1, 100, gagal
33,jpg,120,195,100, 3.5, 50, 1, 10, 1, 100, gagal
37,jpg,110,125,90, 3.5, 200, 1, 10, 6, 100, gagal
39,jpg,260,265,170, 3.5, 50, 1, 10, 1, 100, gagal
40,jpg,90,100,65, 3.5, 50, 1, 10, 2, 50, gagal
41,jpg,105,170,100, 3.5, 50, 1, 10, 2, 50, gagal


luka_kuning_rekap

13,jpg,70,206,50, 3.5, 100, 1, 10, 2, 50, berhasil, 37.87769784172662
19,jpg,60,60,50, 3.5, 100, 1, 10, 2, 100, berhasil, 84.13417951042611
21,jpg,130,170,70, 3.5, 100, 1, 10, 2, 100, berhasil, 73.75180897250362
25,jpg,145,130,55, 3.5, 100, 1, 10, 1, 100, berhasil, 85.7693447969167
34,jpg,185,245,130, 3.5, 100, 1, 10, 1, 100, berhasil, 99.07777557886403
3,jpg,80,85,65, 3.5, 100, 1, 10, 2, 50, gagal
10,jpg,155,133,115, 3.5, 100, 1, 10, 1, 100, gagal
12,jpg,90,138,70, 3.5, 100, 1, 10, 2, 50, gagal
16,jpg,135,172,130, 3.5, 100, 1, 10, 1, 100, gagal
17,jpg,125,115,25, 3.5, 100, 1, 10, 1, 50, gagal
18,jpg,95,130,80, 3.5, 100, 1, 10, 1, 50, gagal
23,jpg,170,230,160, 3.5, 100, 1, 10, 1, 100, gagal
35,jpg,105,110,100, 3.5, 100, 1, 10, 1, 50, gagal
38,jpg,150,280,120, 3.5, 100, 1, 10, 1, 50, gagal
42,jpg,160,260,135, 3.5, 100, 1, 10, 1, 50, gagal


luka_merah_rekap
9,jpg,236,130,70,  3.5, 100, 1, 10, 1, 100, berhasil, 39.13886338128763
36,jpg,135,135,50,  3.5, 100, 1, 10, 2, 100, berhasil, 85.43870566272557
2,jpg,270,105,100, 3.5, 100, 1, 10, 1, 100, gagal
3,jpg,255,170,100,  3.5, 100, 1, 10, 1, 100, gagal
4,jpg,310,170,150,  3.5, 100, 1, 10, 1, 100, gagal
6,jpg,160,250,120,  3.5, 100, 1, 10, 1, 100, gagal
7,jpg,180,250,90,  3.5, 100, 1, 10, 1, 100, gagal
8,jpg,220,260,140,  3.5, 100, 1, 10, 1, 100, gagal
10,jpg,180,240,90,  3.5, 100, 1, 10, 1, 100, gagal
11,jpg,190,295,170,  3.5, 100, 1, 10, 1, 100, gagal
12,jpg,200,245,155,  3.5, 100, 1, 10, 1, 100, gagal
14,jpg,180,263,175,  3.5, 100, 1, 10, 1, 100, gagal
16,jpg,105,140,90,  3.5, 100, 1, 10, 1, 100, gagal
17,jpg,105,160,90,  3.5, 100, 1, 10, 1, 100, gagal
18,jpg,180,280,70,  3.5, 100, 1, 10, 1, 100, gagal
19,jpg,215,275,215,  3.5, 100, 1, 10, 1, 100, gagal
20,jpg,180,204,173,  3.5, 100, 1, 10, 1, 100, gagal
22,jpg,180,225,150,  3.5, 100, 1, 10, 1, 100, gagal
23,jpg,200,235,170,  3.5, 100, 1, 10, 1, 100, gagal
24,jpg,150,150,145,  3.5, 100, 1, 10, 1, 100, gagal
25,jpg,240,320,135,  3.5, 100, 1, 10, 1, 100, gagal
26,jpg,230,280,225,  3.5, 100, 1, 10, 1, 100, gagal
29,jpg,105,160,90,  3.5, 100, 1, 10, 1, 100, gagal
30,jpg,105,120,30,  3.5, 100, 1, 10, 2, 100, gagal
32,jpg,83,120,80,  3.5, 100, 1, 10, 1, 100, gagal
33,jpg,115,130,92,  3.5, 100, 1, 10, 1, 100, gagal
35,jpg,140,130,120,  3.5, 100, 1, 10, 1, 100, gagal
37,jpg,110,130,80,  3.5, 100, 1, 10, 1, 100, gagal
38,jpg,210,260,130,  3.5, 100, 1, 10, 1, 100, gagal
39,jpg,70,95,35,  3.5, 100, 1, 10, 2, 100, gagal
42,jpg,160,180,90,  3.5, 100, 1, 10, 1, 100, gagal
44,jpg,190,345,90,  3.5, 100, 1, 10, 1, 100, gagal
